vitaminC,lactate,glucose
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.245143,9.036667,87.32867
6.145143,9.136667,88.32867
6.045143,8.936667,87.32867
6.145143,9.036667,89.32867
6.045143,9.136667,89.32867
5.996286,9.222,90.1536
6.177714,9.04,88.0356
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.245143,9.036667,87.32867
6.145143,9.136667,88.32867
6.045143,8.936667,87.32867
6.145143,9.036667,89.32867
6.045143,9.136667,89.32867
5.996286,9.222,90.1536
6.177714,9.04,88.0356
6.145143,8.936667,84.32867
6.045143,9.036667,85.32867
5.945143,9.136667,84.32867
6.145143,8.936667,85.32867
6.245143,9.036667,86.32867
6.145143,9.136667,86.32867
6.045143,8.936667,87.32867
6.245143,9.036667,87.32867
6.145143,9.136667,88.32867
6.045143,8.936667,87.32867
6.145143,9.036667,89.32867
6.045143,9.136667,89.32867
5.996286,9.222,90.1536
6.177714,9.04,88.0356
6.327714,12.528,91.3796
6.253429,15.828,92.31662
6.054857,19.78108,92.02678
5.996286,23.79045,91.91036
6.156286,27.66645,90.59782
6.305429,29.59845,91.75784
6.560857,32.40761,92.13006
7.481143,35.00941,91.92812
8.514857,37.75218,93.53042
9.204,40.5685,97.91866
10.15943,43.31056,99.94528
12.37314,44.9836,102.1476
15.37971,46.02558,106.2843
15.1,,
15.2,,
15.3,,
15.4,,
15.5,,
15.6,,
15.7,,
15.8,,
15.9,,
16,,
16.1,,
16.2,,
16.3,,
16.4,,
16.5,,
16.6,,
16.7,,
16.8,,
16.9,,
17,,
17.1,,
17.2,,
17.3,,
17.4,46.63461,108.8051
17.5,47.00555,110.5632
17.6,46.73625,112.7723
17.7,46.36393,115.7602
17.8,45.96109,118.8062
17.9,45.51949,123.2808
18,44.8999,127.4231
18.1,44.61608,131.4061
18.2,44.27783,136.1942
18.3,43.74992,141.471
18.4,43.42338,146.1092
18.5,42.78596,150.5213
18.6,42.26145,154.1212
18.7,41.65603,156.2904
18.8,41.44886,156.9179
18.9,40.92206,156.487
19,40.52141,155.4194
19.1,39.56516,154.6248
19.2,38.66389,153.9238
19.3,37.43562,153.2624
19.4,36.4135,152.6132
19.5,35.59779,151.5341
19.6,35.2946,150.4815
19.7,35.09956,148.3459
19.8,34.9988,146.8992
19.9,35.05969,146.1125
20,34.85969,145.637
20.1,34.55969,145.176
20.2,34.06028,144.8451
20.3,33.38028,145.2445
20.4,32.3252,145.763
20.5,31.5852,146.1292
20.6,30.9252,145.8703
20.7,30.5046,145.9861
20.8,30.34132,144.7636
20.9,30.24951,142.1081
21,,140.3775
21.1,,139.6419
21.2,,139.0368
21.3,,138.8615
21.4,,138.7614
21.5,,138.3051
21.6,,135.5603
21.7,,
21.8,,
21.9,,
22,,
22.1,,
22.2,,
22.3,,
22.4,,
22.5,,
22.6,,
22.7,,
22.8,,
22.9,,
23,,
23.1,,
23.2,,
23.3,,
23.4,,
23.5,,
23.6,,
23.7,,
23.8,,
23.9,,
24,,
24.1,,
24.2,,
24.3,,
24.4,,
24.5,,
24.6,,
24.7,,
24.8,,
24.9,,
25,,
25.1,,
25.2,,
25.3,,
25.4,,
25.5,,
25.6,,
25.7,,
25.8,,
25.9,,
26,,
26.1,,
26.2,,
26.3,,
26.4,,
26.5,,
26.6,,
26.7,,
26.8,,
26.9,,
27,,
27.1,,
27.2,,
27.3,,
27.4,,
27.5,,
27.6,,
27.7,,
27.8,,
27.9,,
28,,
28.1,,
28.2,,
28.3,,
28.4,,
28.5,,
28.6,,
28.7,,
28.8,,
28.9,,
29,,
29.1,,
29.2,,
29.3,,
29.4,,
29.5,,
29.6,,
